"export-plot data (NetLogo 6.1.1)"
"altruism.nlogo"
"01/28/2021 18:06:11:217 +0100"

"MODEL SETTINGS"
"n_basic2","tick_energy","init_energy","food_amount","gestation_period","chemical_cost","food_surface","prob_mutation","life_span","n_altruistic2","n_profiteer2","diffusion-rate","food_expiration","evaporation-rate","eating_rate","n_food_source","n_altruistic","n_basic","n_profiteer","food_energy"
"0","0.8","100","4","100","0.3","9","0","1000","0","0","50","500","25","5","8","100","100","100","20"

"""Population"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","11600","0","1270","true","""basics""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""basics""","true","0","1","0","11150"
"""altruistics""","true","0","1","75","11150"
"""profiteers""","true","0","1","25","11150"

"""basics""",,,,"""altruistics""",,,,"""profiteers"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","100","0","true","0","100","75","true","0","100","25","true"
"1","100","0","true","1","100","75","true","1","100","25","true"
"2","100","0","true","2","100","75","true","2","100","25","true"
"3","100","0","true","3","100","75","true","3","100","25","true"
"4","100","0","true","4","100","75","true","4","100","25","true"
"5","100","0","true","5","100","75","true","5","100","25","true"
"6","100","0","true","6","100","75","true","6","100","25","true"
"7","100","0","true","7","100","75","true","7","100","25","true"
"8","100","0","true","8","100","75","true","8","100","25","true"
"9","100","0","true","9","100","75","true","9","100","25","true"
"10","100","0","true","10","100","75","true","10","100","25","true"
"11","100","0","true","11","100","75","true","11","100","25","true"
"12","100","0","true","12","100","75","true","12","100","25","true"
"13","100","0","true","13","100","75","true","13","100","25","true"
"14","100","0","true","14","100","75","true","14","100","25","true"
"15","100","0","true","15","100","75","true","15","100","25","true"
"16","100","0","true","16","100","75","true","16","100","25","true"
"17","100","0","true","17","100","75","true","17","100","25","true"
"18","100","0","true","18","100","75","true","18","100","25","true"
"19","100","0","true","19","100","75","true","19","100","25","true"
"20","100","0","true","20","100","75","true","20","100","25","true"
"21","100","0","true","21","100","75","true","21","100","25","true"
"22","100","0","true","22","100","75","true","22","100","25","true"
"23","100","0","true","23","100","75","true","23","100","25","true"
"24","100","0","true","24","100","75","true","24","100","25","true"
"25","100","0","true","25","100","75","true","25","100","25","true"
"26","100","0","true","26","100","75","true","26","100","25","true"
"27","100","0","true","27","100","75","true","27","100","25","true"
"28","100","0","true","28","100","75","true","28","100","25","true"
"29","100","0","true","29","100","75","true","29","100","25","true"
"30","100","0","true","30","100","75","true","30","100","25","true"
"31","100","0","true","31","100","75","true","31","100","25","true"
"32","100","0","true","32","100","75","true","32","100","25","true"
"33","100","0","true","33","100","75","true","33","100","25","true"
"34","100","0","true","34","100","75","true","34","100","25","true"
"35","100","0","true","35","100","75","true","35","100","25","true"
"36","100","0","true","36","100","75","true","36","100","25","true"
"37","100","0","true","37","100","75","true","37","100","25","true"
"38","100","0","true","38","100","75","true","38","100","25","true"
"39","100","0","true","39","100","75","true","39","100","25","true"
"40","100","0","true","40","100","75","true","40","100","25","true"
"41","100","0","true","41","100","75","true","41","100","25","true"
"42","100","0","true","42","100","75","true","42","100","25","true"
"43","100","0","true","43","100","75","true","43","100","25","true"
"44","100","0","true","44","100","75","true","44","100","25","true"
"45","100","0","true","45","100","75","true","45","100","25","true"
"46","100","0","true","46","100","75","true","46","100","25","true"
"47","100","0","true","47","100","75","true","47","100","25","true"
"48","100","0","true","48","100","75","true","48","100","25","true"
"49","100","0","true","49","100","75","true","49","100","25","true"
"50","100","0","true","50","100","75","true","50","100","25","true"
"51","100","0","true","51","100","75","true","51","100","25","true"
"52","100","0","true","52","100","75","true","52","100","25","true"
"53","100","0","true","53","100","75","true","53","100","25","true"
"54","100","0","true","54","100","75","true","54","100","25","true"
"55","100","0","true","55","100","75","true","55","100","25","true"
"56","100","0","true","56","100","75","true","56","100","25","true"
"57","100","0","true","57","100","75","true","57","100","25","true"
"58","100","0","true","58","100","75","true","58","100","25","true"
"59","100","0","true","59","100","75","true","59","100","25","true"
"60","100","0","true","60","100","75","true","60","100","25","true"
"61","100","0","true","61","100","75","true","61","100","25","true"
"62","100","0","true","62","100","75","true","62","100","25","true"
"63","100","0","true","63","100","75","true","63","100","25","true"
"64","100","0","true","64","100","75","true","64","100","25","true"
"65","100","0","true","65","100","75","true","65","100","25","true"
"66","100","0","true","66","100","75","true","66","100","25","true"
"67","100","0","true","67","100","75","true","67","100","25","true"
"68","100","0","true","68","100","75","true","68","100","25","true"
"69","100","0","true","69","100","75","true","69","100","25","true"
"70","100","0","true","70","100","75","true","70","100","25","true"
"71","100","0","true","71","100","75","true","71","100","25","true"
"72","100","0","true","72","100","75","true","72","100","25","true"
"73","100","0","true","73","100","75","true","73","100","25","true"
"74","100","0","true","74","100","75","true","74","100","25","true"
"75","100","0","true","75","100","75","true","75","100","25","true"
"76","100","0","true","76","100","75","true","76","100","25","true"
"77","100","0","true","77","100","75","true","77","100","25","true"
"78","100","0","true","78","100","75","true","78","100","25","true"
"79","100","0","true","79","100","75","true","79","100","25","true"
"80","100","0","true","80","100","75","true","80","100","25","true"
"81","100","0","true","81","100","75","true","81","100","25","true"
"82","100","0","true","82","100","75","true","82","100","25","true"
"83","100","0","true","83","100","75","true","83","100","25","true"
"84","100","0","true","84","100","75","true","84","100","25","true"
"85","100","0","true","85","100","75","true","85","100","25","true"
"86","100","0","true","86","100","75","true","86","100","25","true"
"87","100","0","true","87","100","75","true","87","100","25","true"
"88","100","0","true","88","100","75","true","88","100","25","true"
"89","100","0","true","89","100","75","true","89","100","25","true"
"90","100","0","true","90","100","75","true","90","100","25","true"
"91","100","0","true","91","100","75","true","91","100","25","true"
"92","100","0","true","92","100","75","true","92","100","25","true"
"93","100","0","true","93","100","75","true","93","100","25","true"
"94","100","0","true","94","100","75","true","94","100","25","true"
"95","100","0","true","95","100","75","true","95","100","25","true"
"96","100","0","true","96","100","75","true","96","100","25","true"
"97","100","0","true","97","100","75","true","97","100","25","true"
"98","100","0","true","98","100","75","true","98","100","25","true"
"99","100","0","true","99","100","75","true","99","100","25","true"
"100","100","0","true","100","100","75","true","100","100","25","true"
"101","100","0","true","101","100","75","true","101","100","25","true"
"102","100","0","true","102","100","75","true","102","100","25","true"
"103","100","0","true","103","100","75","true","103","100","25","true"
"104","100","0","true","104","100","75","true","104","100","25","true"
"105","100","0","true","105","100","75","true","105","100","25","true"
"106","100","0","true","106","100","75","true","106","100","25","true"
"107","100","0","true","107","100","75","true","107","100","25","true"
"108","100","0","true","108","100","75","true","108","100","25","true"
"109","100","0","true","109","100","75","true","109","100","25","true"
"110","100","0","true","110","100","75","true","110","100","25","true"
"111","100","0","true","111","100","75","true","111","100","25","true"
"112","100","0","true","112","100","75","true","112","100","25","true"
"113","100","0","true","113","100","75","true","113","100","25","true"
"114","100","0","true","114","100","75","true","114","100","25","true"
"115","100","0","true","115","100","75","true","115","100","25","true"
"116","100","0","true","116","100","75","true","116","100","25","true"
"117","100","0","true","117","100","75","true","117","100","25","true"
"118","100","0","true","118","100","75","true","118","100","25","true"
"119","100","0","true","119","100","75","true","119","100","25","true"
"120","100","0","true","120","100","75","true","120","100","25","true"
"121","100","0","true","121","100","75","true","121","100","25","true"
"122","100","0","true","122","100","75","true","122","100","25","true"
"123","100","0","true","123","100","75","true","123","100","25","true"
"124","100","0","true","124","100","75","true","124","100","25","true"
"125","100","0","true","125","100","75","true","125","100","25","true"
"126","100","0","true","126","100","75","true","126","100","25","true"
"127","78","0","true","127","68","75","true","127","82","25","true"
"128","78","0","true","128","68","75","true","128","82","25","true"
"129","78","0","true","129","68","75","true","129","82","25","true"
"130","78","0","true","130","68","75","true","130","82","25","true"
"131","78","0","true","131","68","75","true","131","82","25","true"
"132","78","0","true","132","68","75","true","132","82","25","true"
"133","78","0","true","133","68","75","true","133","82","25","true"
"134","78","0","true","134","68","75","true","134","82","25","true"
"135","78","0","true","135","68","75","true","135","82","25","true"
"136","97","0","true","136","79","75","true","136","98","25","true"
"137","99","0","true","137","80","75","true","137","100","25","true"
"138","99","0","true","138","82","75","true","138","101","25","true"
"139","100","0","true","139","82","75","true","139","101","25","true"
"140","105","0","true","140","82","75","true","140","101","25","true"
"141","106","0","true","141","82","75","true","141","103","25","true"
"142","107","0","true","142","82","75","true","142","104","25","true"
"143","108","0","true","143","82","75","true","143","105","25","true"
"144","108","0","true","144","82","75","true","144","106","25","true"
"145","109","0","true","145","82","75","true","145","106","25","true"
"146","109","0","true","146","84","75","true","146","107","25","true"
"147","110","0","true","147","85","75","true","147","107","25","true"
"148","111","0","true","148","87","75","true","148","108","25","true"
"149","112","0","true","149","88","75","true","149","109","25","true"
"150","112","0","true","150","89","75","true","150","109","25","true"
"151","112","0","true","151","89","75","true","151","109","25","true"
"152","111","0","true","152","90","75","true","152","106","25","true"
"153","111","0","true","153","90","75","true","153","106","25","true"
"154","111","0","true","154","92","75","true","154","106","25","true"
"155","111","0","true","155","93","75","true","155","106","25","true"
"156","112","0","true","156","94","75","true","156","107","25","true"
"157","113","0","true","157","94","75","true","157","107","25","true"
"158","114","0","true","158","94","75","true","158","108","25","true"
"159","114","0","true","159","95","75","true","159","109","25","true"
"160","116","0","true","160","95","75","true","160","110","25","true"
"161","116","0","true","161","97","75","true","161","113","25","true"
"162","118","0","true","162","99","75","true","162","113","25","true"
"163","118","0","true","163","99","75","true","163","116","25","true"
"164","119","0","true","164","99","75","true","164","116","25","true"
"165","119","0","true","165","99","75","true","165","118","25","true"
"166","119","0","true","166","99","75","true","166","118","25","true"
"167","119","0","true","167","99","75","true","167","119","25","true"
"168","119","0","true","168","99","75","true","168","119","25","true"
"169","119","0","true","169","99","75","true","169","119","25","true"
"170","120","0","true","170","100","75","true","170","120","25","true"
"171","121","0","true","171","100","75","true","171","122","25","true"
"172","121","0","true","172","100","75","true","172","122","25","true"
"173","121","0","true","173","100","75","true","173","122","25","true"
"174","122","0","true","174","102","75","true","174","123","25","true"
"175","123","0","true","175","102","75","true","175","125","25","true"
"176","122","0","true","176","103","75","true","176","125","25","true"
"177","122","0","true","177","104","75","true","177","124","25","true"
"178","122","0","true","178","104","75","true","178","124","25","true"
"179","122","0","true","179","106","75","true","179","124","25","true"
"180","122","0","true","180","106","75","true","180","124","25","true"
"181","122","0","true","181","106","75","true","181","125","25","true"
"182","122","0","true","182","107","75","true","182","127","25","true"
"183","123","0","true","183","107","75","true","183","127","25","true"
"184","125","0","true","184","107","75","true","184","128","25","true"
"185","125","0","true","185","107","75","true","185","128","25","true"
"186","125","0","true","186","107","75","true","186","128","25","true"
"187","126","0","true","187","108","75","true","187","128","25","true"
"188","126","0","true","188","109","75","true","188","128","25","true"
"189","126","0","true","189","109","75","true","189","128","25","true"
"190","126","0","true","190","109","75","true","190","129","25","true"
"191","126","0","true","191","109","75","true","191","129","25","true"
"192","126","0","true","192","109","75","true","192","130","25","true"
"193","126","0","true","193","109","75","true","193","130","25","true"
"194","126","0","true","194","109","75","true","194","130","25","true"
"195","126","0","true","195","110","75","true","195","132","25","true"
"196","126","0","true","196","110","75","true","196","133","25","true"
"197","126","0","true","197","110","75","true","197","133","25","true"
"198","126","0","true","198","110","75","true","198","133","25","true"
"199","126","0","true","199","110","75","true","199","133","25","true"
"200","127","0","true","200","110","75","true","200","133","25","true"
"201","127","0","true","201","111","75","true","201","133","25","true"
"202","127","0","true","202","111","75","true","202","128","25","true"
"203","127","0","true","203","111","75","true","203","128","25","true"
"204","127","0","true","204","112","75","true","204","128","25","true"
"205","127","0","true","205","112","75","true","205","128","25","true"
"206","127","0","true","206","112","75","true","206","128","25","true"
"207","127","0","true","207","112","75","true","207","128","25","true"
"208","127","0","true","208","112","75","true","208","128","25","true"
"209","127","0","true","209","112","75","true","209","128","25","true"
"210","127","0","true","210","112","75","true","210","128","25","true"
"211","127","0","true","211","113","75","true","211","129","25","true"
"212","127","0","true","212","113","75","true","212","129","25","true"
"213","127","0","true","213","113","75","true","213","129","25","true"
"214","127","0","true","214","113","75","true","214","129","25","true"
"215","127","0","true","215","113","75","true","215","129","25","true"
"216","127","0","true","216","113","75","true","216","129","25","true"
"217","127","0","true","217","114","75","true","217","129","25","true"
"218","128","0","true","218","114","75","true","218","131","25","true"
"219","129","0","true","219","115","75","true","219","131","25","true"
"220","129","0","true","220","115","75","true","220","131","25","true"
"221","129","0","true","221","115","75","true","221","131","25","true"
"222","129","0","true","222","115","75","true","222","131","25","true"
"223","130","0","true","223","115","75","true","223","131","25","true"
"224","130","0","true","224","115","75","true","224","131","25","true"
"225","130","0","true","225","115","75","true","225","131","25","true"
"226","130","0","true","226","115","75","true","226","131","25","true"
"227","130","0","true","227","116","75","true","227","131","25","true"
"228","130","0","true","228","116","75","true","228","131","25","true"
"229","130","0","true","229","116","75","true","229","131","25","true"
"230","130","0","true","230","116","75","true","230","131","25","true"
"231","130","0","true","231","116","75","true","231","131","25","true"
